    accommodate      提供住所，容纳
         accord          协议，给予
    accountable          负有责任的
            ace              一流的
    acknowledge           致谢,承认
          acute      严重的，敏锐的
       alphabet              字母表
          alter                改变
     anticipate                期待
      arbitrary      随意的，任性的
       assembly          集会，集合
         assess           评价,估计
     assignment            课外作业
         binary                数组
         bittle              易碎的
          brisk              轻快的
          brook                小溪
          chill       寒冷,感到寒冷
           cite                引用
       civilize                教育
      collision          冲突，碰撞
      component            组成部分
  comprehension         测试,理解力
       confront           与...对抗
       contempt          鄙视，轻视
        convert        转换，使转变
  correspondent                记者
      criticise           批判,批评
          curse                诅咒
        decimal            十进制的
      dedicated          专心致志的
         deduce          推断，推论
           deed                行为
   denomination                分母
        density                密度
         derive           源自,获得
  deterioration          恶化，退化
        deveive                欺骗
       diameter                直径
            dim              微弱的
     discipline                自律
        dismiss                开除
    distinction          优秀，杰出
       distress          痛苦，悲伤
     distribute                分发
       domestic              国产的
          drain              下水管
          drift                漂流
           emit                散发
        enhance                提高
          enrol      参加,注册,入学
        entitle         给予...权力
         estate                地产
         exceed                超过
    exculsively              专门地
        fertile              肥沃的
       flourish          繁荣，兴旺
       geometry              几何学
        glitter          闪耀，闪光
       graceful              优雅的
          haste                匆忙
          hasty              匆忙的
         hatred              讨厌的
           hint                暗示
         hollow              空心的
          humid            多湿气的
    humiliating              丢脸的
     illustrate                阐释
        imitate                模仿
       implicit  未言明的，不明确的
   incompatible    不相容的，矛盾的
  indispensable          必不可少的
         insert           插入,嵌入
        install                安装
   insufficient              不足的
         insult                侮辱
        intense              强烈的
      intensive              加强的
       interger          整数，整体
        invalid              无效的
         invoke          调用，激活
        involve           需要,涉及
        isolate         隔离,孤单的
          joint        关节，结合处
            kit              工具箱
       landlord          房东，地主
           lens                镜头
           liar            说谎的人
       liberate                解放
         manual      手工的，说明书
         margin          空白，边缘
       merchant                商人
     moderately              适度的
       monument              纪念碑
       murderer              杀人犯
           mute          把……静音
          naval              海军的
        neglect            疏于照料
    negotiation                谈判
    nonetheless          然而，不过
      objective           目标,目的
         oblige                迫使
        only_if          只要……就
       operands    操作数，操作对象
        oppress                压迫
        overall              全面的
       overtake                超过
       perceive              意识到
    philosopher              哲学家
          pitch             投掷,投
     precaution            预防措施
     prosperous              富裕的
           puff                喷出
        radical              根本的
        readily      欣然地，容易地
   reference_to          提及，参考
        resolve                决心
         resort          凭借，采用
        revenue            税收收益
         revolt                反抗
          rifle                步枪
         rotten       腐烂的,腐朽的
        scatter          分散，撒开
       semester                学期
         shield           盾牌,保护
         solely              单独地
        sparkle              闪耀的
          spoil           溺爱,变质
          staff            全体职员
         status          地位，身份
          stern              严厉的
      stimulate           刺激,激发
         strain           负担,压力
       submerge                淹没
     succession        一连串，连续
        suspect          犯罪嫌疑人
       syntatic                语法
         tackle           对付,处理
        thereby                因此
        torrent                洪流
       transfer                转移
       transmit                发射
     tremendous              巨大的
          tribe                部落
        trigger          起因，诱因
      undefined  未定义的，不明确的
     unsanitary            不卫生的
        upgrade          升级，提高
        vibrate          颤动，震动
        violate           违反,违背
         weapon                武器
