        resolve                决心
      objective           目标,目的
       transfer                转移
    acknowledge           致谢,承认
         estate                地产
        intense              强烈的
        involve           需要,涉及
           liar            说谎的人
           hint                暗示
          alter                改变
        overall              全面的
            dim              微弱的
     distribute                分发
        entitle         给予...权力
          staff            全体职员
         tackle           对付,处理
     assignment            课外作业
         insult                侮辱
          drift                漂流
           emit                散发
        install                安装
     discipline                自律
      criticise           批判,批评
       overtake                超过
        deveive                欺骗
          drain              下水管
     illustrate                阐释
        imitate                模仿
            kit              工具箱
    negotiation                谈判
          pitch             投掷,投
          chill       寒冷,感到寒冷
        isolate         隔离,孤单的
        violate           违反,违背
          spoil           溺爱,变质
          enrol      参加,注册,入学
        suspect          犯罪嫌疑人
         derive           源自,获得
  comprehension         测试,理解力
       confront           与...对抗
  indispensable          必不可少的
           lens                镜头
       perceive              意识到
         shield           盾牌,保护
         strain           负担,压力
         assess           评价,估计
        revenue            税收收益
         resort          凭借，采用
           cite                引用
       transmit                发射
        enhance                提高
         insert           插入,嵌入
        neglect            疏于照料
      stimulate           刺激,激发
        invalid              无效的
       operands    操作数，操作对象
       contempt          鄙视，轻视
        vibrate          颤动，震动
   incompatible    不相容的，矛盾的
   reference_to          提及，参考
      undefined  未定义的，不明确的
       implicit  未言明的，不明确的
       interger          整数，整体
        trigger          起因，诱因
  deterioration          恶化，退化
        dismiss                开除
     unsanitary            不卫生的
        only_if          只要……就
        upgrade          升级，提高
      component            组成部分
         invoke          调用，激活
        thereby                因此
           mute          把……静音
         exceed                超过
        torrent                洪流
        fertile              肥沃的
      collision          冲突，碰撞
          tribe                部落
          brisk              轻快的
      intensive              加强的
   insufficient              不足的
         rotten       腐烂的,腐朽的
          humid            多湿气的
       alphabet              字母表
          haste                匆忙
         margin          空白，边缘
        glitter          闪耀，闪光
  correspondent                记者
          joint        关节，结合处
          stern              严厉的
       flourish          繁荣，兴旺
        radical              根本的
    philosopher              哲学家
       murderer              杀人犯
          curse                诅咒
        readily      欣然地，容易地
       submerge                淹没
     tremendous              巨大的
        sparkle              闪耀的
         hatred              讨厌的
           deed                行为
       civilize                教育
          rifle                步枪
     succession        一连串，连续
       geometry              几何学
        oppress                压迫
        convert        转换，使转变
         binary                数组
        decimal            十进制的
    humiliating              丢脸的
       liberate                解放
    nonetheless          然而，不过
      dedicated          专心致志的
     moderately              适度的
       syntatic                语法
       semester                学期
         deduce          推断，推论
       diameter                直径
   denomination                分母
       landlord          房东，地主
    distinction          优秀，杰出
       monument              纪念碑
         hollow              空心的
           puff                喷出
     precaution            预防措施
         manual      手工的，说明书
         weapon                武器
         solely              单独地
         bittle              易碎的
    exculsively              专门地
         revolt                反抗
       distress          痛苦，悲伤
       merchant                商人
       domestic              国产的
        density                密度
          brook                小溪
       graceful              优雅的
        scatter          分散，撒开
          hasty              匆忙的
         oblige                迫使
       assembly          集会，集合
          naval              海军的
     prosperous              富裕的
      arbitrary      随意的，任性的
     anticipate                期待
         status          地位，身份
    accommodate      提供住所，容纳
         accord          协议，给予
    accountable          负有责任的
            ace              一流的
          acute      严重的，敏锐的
